iter	Logloss
0	0.6463133248
1	0.6067185935
2	0.5765410008
3	0.5518140144
4	0.53355708
5	0.5168487112
6	0.5047420119
7	0.4918381017
8	0.4835888371
9	0.4752062015
10	0.4678804021
11	0.4613524997
12	0.4564122393
13	0.4510694962
14	0.4460681639
15	0.4423546098
16	0.4383964597
17	0.4352871684
18	0.4327376772
19	0.4306906681
20	0.4282287116
21	0.4255699709
22	0.4232883691
23	0.4213846081
24	0.4196940554
25	0.4179548635
26	0.4163469231
27	0.4146731905
28	0.4127203979
29	0.4112934895
30	0.4094974582
31	0.4082446271
32	0.4069662262
33	0.4054195441
34	0.4043717383
35	0.4036342708
36	0.4026571613
37	0.4011591795
38	0.3998696019
39	0.3989316044
40	0.3978291356
41	0.3966258388
42	0.3955222683
43	0.3949819494
44	0.3941944443
45	0.3926580428
46	0.3919015837
47	0.3908176184
48	0.3900802902
49	0.3889558325
