iter	Passed	Remaining
0	113	5585
1	217	5214
2	322	5051
3	431	4961
4	534	4811
5	641	4702
6	745	4578
7	849	4462
8	964	4391
9	1070	4283
10	1178	4178
11	1291	4088
12	1397	3976
13	1500	3857
14	1610	3757
15	1714	3644
16	1823	3539
17	1921	3416
18	2031	3314
19	2138	3207
20	2243	3097
21	2353	2995
22	2456	2883
23	2561	2774
24	2663	2663
25	2768	2555
26	2873	2447
27	2976	2338
28	3079	2229
29	3193	2128
30	3299	2022
31	3403	1914
32	3514	1810
33	3617	1702
34	3722	1595
35	3826	1488
36	3934	1382
37	4035	1274
38	4145	1169
39	4246	1061
40	4354	955
41	4466	850
42	4580	745
43	4688	639
44	4813	534
45	4931	428
46	5034	321
47	5142	214
48	5260	107
49	5384	0
