iter	Passed	Remaining
0	327	16041
1	463	11131
2	518	8119
3	571	6573
4	621	5597
5	673	4940
6	727	4468
7	780	4097
8	837	3815
9	888	3552
10	942	3341
11	997	3157
12	1052	2995
13	1105	2843
14	1159	2704
15	1212	2575
16	1263	2452
17	1316	2340
18	1369	2234
19	1422	2134
20	1479	2042
21	1532	1950
22	1585	1861
23	1641	1777
24	1695	1695
25	1748	1613
26	1799	1532
27	1851	1454
28	1905	1379
29	1958	1305
30	2011	1232
31	2065	1161
32	2119	1092
33	2175	1023
34	2228	954
35	2278	886
36	2334	820
37	2388	754
38	2440	688
39	2493	623
40	2545	558
41	2600	495
42	2651	431
43	2705	368
44	2759	306
45	2813	244
46	2865	182
47	2918	121
48	2970	60
49	3024	0
